cod_ubicacion,cod_sector,empleo,excedente,insumos_intermedios_domesticos,insumos_intermedios_importados,exportaciones,ventas_intermedias,ventas_domesticas,produccion_bruta,insumos_intermedios_totales,valor_agregado,remuneraciones,ventas_consumo_final
3.0,45.0,9.981172561645508,101253.12706904631,164942.89115945576,52918.86068542958,0.0,62738.74555131012,594667.2805105487,594667.2805105487,217861.75184488532,376805.5286656634,275552.401596617,531928.5349592386
3.0,46.0,8.56733512878418,16445.696172019165,29329.188335954004,5752.035122130948,1.0118173107633344e-05,20080.036600488023,86783.61543411817,86783.61544423635,35081.223458084954,51702.3919871632,35256.695814132225,66703.57883363015
4.0,1.0,1.171040654182434,651.3224678939636,2080.242194958799,642.3679423672947,641.1756310137337,1748.5686808304058,3487.780417165123,4128.956048178857,2722.610137326094,1406.3459108527627,755.0234429587991,1739.2117363347172
4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,5.0,0.2923407554626465,6996.459314805494,17311.872747978283,2186.175811699776,0.0,2887.6525955413604,31392.307537456403,31392.307537456403,19498.048559678056,11894.258977778343,4897.799662972852,28504.654941915047
4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,16.0,0.0109538557007908,477.3362994672628,981.8800183557968,135.93647592206963,94.9178109179176,819.920466304695,1939.5949455330567,2034.5127574627916,1117.8164942778665,916.696263184925,439.3599637176621,1119.674480240179
4.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,19.0,0.0009146108059212,232.4183277317151,5.350668019163207,0.0,0.0,263.680574671351,263.680574671351,263.680574671351,5.350668019163207,258.3299066521878,25.91157892047269,0.0
4.0,20.0,0.0605558976531028,4856.242391425104,749.895309991696,58.69965850654743,0.0,1297.7368316014054,6302.288677590546,6302.288677590546,808.5949684982435,5493.693709092303,637.451317667199,5004.551845989141
4.0,21.0,0.6196281313896179,12181.18848656148,49723.83556614501,8791.748423195146,0.0,7043.632166357074,89852.33516780581,89852.33516780581,58515.58398934014,31336.751178465664,19155.562691904182,82808.70300144874
4.0,22.0,0.0736880749464035,10.080566893644203,140.12790080102204,0.1054171983391887,0.0951745717023315,127.05454221654423,187.20686683615455,187.3020414078569,140.23331799936125,47.068724420313,36.98815651485149,60.15232461961034
4.0,23.0,0.1811071634292602,301.4670358198658,1735.7263909651867,0.0,38.99746683870968,610.1260043283296,2259.651771962951,2298.649238801661,1735.7263909651867,562.9228468246566,261.4558110047908,1649.5257666228042
4.0,24.0,1.147668957710266,6179.468875140211,2932.505218463111,197.22039375023957,0.0,3063.566688766528,10257.750238834877,10257.750238834877,3129.7256122133504,7128.024626621527,948.5557514813158,7194.183550068349
4.0,25.0,1.0057579278945925,15673.828197846056,14762.062194611306,3530.795033469179,0.0,8406.757090647077,37454.1612901284,37454.1612901284,18292.857228080487,19161.304062047908,3487.475864201853,29047.40419948132
4.0,26.0,0.6061540246009827,7654.037589094858,14946.795232878952,9664.552545206005,201.28734789907375,19709.73781651868,34933.75479942255,35135.0421463098,24611.34777808496,10523.694369236666,2869.6567791299904,15224.016982903866
4.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
